time,Yaw,Vel,Ideal Vel L,Ideal Vel R,Vel L,Vel R,Cur X,Cur Y,Ideal x,Ideal y,Next Pos x,Next Pos y,L,dX,Theta,Curvature,velDif,Closest idx,left pos,right pos
0.168,89.990000,0.250000,0.222951,0.277049,0.000000,0.000000,1.999667,0.000000,2.000000,0.000120,1.902451,0.815736,0.821509,0.097359,1.689413,0.288523,0.027049,0,0,0
0.216,89.990000,0.250000,0.222951,0.277049,0.000000,0.000000,1.999667,0.000000,2.000000,0.000120,1.902451,0.815736,0.821509,0.097359,1.689413,0.288523,0.027049,0,0,0
0.268,89.990000,0.250000,0.222951,0.277049,0.000000,0.000000,1.999667,0.000000,2.000000,0.000120,1.902451,0.815736,0.821509,0.097359,1.689413,0.288523,0.027049,0,0,0
0.306,90.110000,0.250000,0.222152,0.277848,0.000000,0.000000,1.998838,0.000829,2.000000,0.000600,1.891140,0.839103,0.845164,0.106088,1.698572,0.297041,0.027848,1,0,3
0.358,90.480000,0.250000,0.220401,0.279599,0.000000,0.112704,1.998838,0.003315,2.000000,0.003597,1.866261,0.883930,0.890539,0.125195,1.720225,0.315727,0.029599,3,0,10
0.41200000000000003,91.110000,0.250000,0.220777,0.279223,0.000000,0.182315,1.998838,0.008287,2.000000,0.006595,1.852650,0.905451,0.908996,0.128781,1.732322,0.311715,0.029223,4,0,22
0.463,91.970000,0.292808,0.257782,0.327834,0.000000,0.238667,1.998838,0.014088,1.999999,0.016760,1.822969,0.946847,0.949194,0.143700,1.757156,0.318991,0.035026,6,0,35
0.514,92.910000,0.292808,0.261087,0.324529,0.000000,0.253584,1.998838,0.019889,1.999999,0.016760,1.822969,0.946847,0.943494,0.128583,1.758295,0.288892,0.031721,6,0,50
0.5670000000000001,93.790000,0.381809,0.341811,0.421807,0.000000,0.273473,1.998010,0.026519,1.999999,0.024397,1.806851,0.966769,0.959485,0.128590,1.771368,0.279358,0.039998,7,0,66
0.619,94.950000,0.482415,0.434514,0.530316,0.000000,0.361316,1.998010,0.035634,1.999996,0.034045,1.789851,0.986197,0.973087,0.125362,1.786378,0.264783,0.047901,8,2,86
0.658,96.030000,0.591576,0.535818,0.647333,0.072926,0.395293,1.996352,0.044750,1.999990,0.045876,1.771982,1.005146,0.986256,0.122240,1.800303,0.251342,0.055758,9,6,104
0.709,97.400000,0.702980,0.640431,0.765529,0.228723,0.651363,1.994695,0.064639,1.999978,0.059936,1.753170,1.023557,0.988867,0.116009,1.817536,0.237271,0.062549,10,18,139
0.767,99.420000,0.922352,0.842722,1.001981,0.380376,0.849423,1.989723,0.096130,1.999912,0.094654,1.712830,1.059049,1.001939,0.115558,1.850797,0.230221,0.079629,12,40,195
0.8140000000000001,100.830000,1.030020,0.945577,1.114462,0.474848,0.938924,1.984750,0.121820,1.999844,0.115254,1.691259,1.076105,0.998397,0.108958,1.869166,0.218616,0.084442,13,61,237
0.872,102.760000,1.237917,1.131407,1.344427,0.687826,1.146100,1.974806,0.169056,1.999546,0.162718,1.645328,1.108841,0.995867,0.113773,1.907996,0.229439,0.106510,15,102,311
0.937,105.010000,1.428369,1.298642,1.558096,0.870970,1.422888,1.959889,0.230380,1.998856,0.218053,1.595760,1.139736,0.979550,0.116193,1.951669,0.242191,0.129727,17,160,406
0.98,107.100000,1.566582,1.411521,1.721642,1.098864,1.574541,1.941658,0.290047,1.997509,0.279455,1.542725,1.168789,0.965057,0.122912,1.996957,0.263947,0.155060,19,219,498
1.0210000000000001,108.510000,1.642422,1.448043,1.836801,1.228971,1.609347,1.925084,0.343084,1.995110,0.344484,1.486454,1.196018,0.959110,0.145158,2.045787,0.315597,0.194379,21,276,575
1.083,110.120000,1.658699,1.394191,1.923207,1.555481,1.764315,1.894421,0.428441,1.988732,0.443965,1.396585,1.233534,0.946582,0.190514,2.124606,0.425245,0.264508,24,374,695
1.124,110.830000,1.626180,1.303572,1.948788,1.708791,1.877019,1.870389,0.493080,1.982140,0.508902,1.333460,1.256432,0.933274,0.230390,2.183789,0.529024,0.322608,26,454,783
1.182,111.480000,1.503592,1.084354,1.922830,1.777574,2.012098,1.828954,0.598326,1.962104,0.631611,1.200791,1.297593,0.939980,0.328479,2.302680,0.743532,0.419238,30,585,924
1.222,112.270000,1.408241,0.949387,1.867094,1.689731,2.051047,1.801606,0.667937,1.940522,0.715221,1.096761,1.324854,0.963508,0.403317,2.391376,0.868893,0.458854,33,668,1022
1.281,113.870000,1.298287,0.813316,1.783258,1.539735,2.088339,1.757685,0.769868,1.891140,0.839103,0.916951,1.364541,1.029791,0.528181,2.525967,0.996126,0.484971,38,786,1172
1.321,115.660000,1.272591,0.788757,1.756426,1.439462,2.125630,1.727023,0.835335,1.838228,0.926415,0.768736,1.392124,1.108300,0.622674,2.615242,1.013856,0.483834,42,858,1274
1.3800000000000001,118.830000,1.302499,0.806550,1.798448,1.223170,2.060991,1.679787,0.927322,1.771982,1.005146,0.617629,1.416875,1.169547,0.694439,2.709707,1.015380,0.495949,46,955,1427
